",title,Adventure,Animation,Comedy,Fantasy,Romance,Children,Drama,Documentary,Crime,Sci-Fi,Horror,Mystery,War,Thriller,Action"
"91,Vampire in Brooklyn (1995),0,0,1,0,1,0,0,0,0,0,1,0,0,0,0"
"92,Beautiful Girls (1996),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"93,Broken Arrow (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"94,In the Bleak Midwinter (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"95,""Hate (Haine, La) (1995)"",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
"96,Shopping (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"97,Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"98,City Hall (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"99,Bottle Rocket (1996),1,0,1,0,1,0,0,0,1,0,0,0,0,0,0"
"100,Mr. Wrong (1996),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"101,Unforgettable (1996),0,0,0,0,0,0,0,0,0,1,0,1,0,1,0"
"102,Happy Gilmore (1996),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"103,""Bridges of Madison County, The (1995)"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"104,Nobody Loves Me (Keiner liebt mich) (1994),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"105,Muppet Treasure Island (1996),1,0,1,0,0,1,0,0,0,0,0,0,0,0,0"
"106,Catwalk (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"107,Headless Body in Topless Bar (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,1,0"
"108,Braveheart (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
"109,Taxi Driver (1976),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0"
"110,Rumble in the Bronx (Hont faan kui) (1995),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1"
"111,Before and After (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
"112,Margaret's Museum (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"113,""Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"114,Anne Frank Remembered (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"115,""Young Poisoner's Handbook, The (1995)"",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
"116,If Lucy Fell (1996),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"117,""Steal Big, Steal Little (1995)"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"118,Race the Sun (1996),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"119,""Boys of St. Vincent, The (1992)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"120,Boomerang (1992),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"121,Chungking Express (Chung Hing sam lam) (1994),0,0,0,0,1,0,0,0,0,0,0,1,0,0,0"
"122,""Star Maker, The (Uomo delle stelle, L') (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"123,Flirting With Disaster (1996),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"124,""NeverEnding Story III, The (1994)"",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
"125,""Silences of the Palace, The (Saimt el Qusur) (1994)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"126,Jupiter's Wife (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"127,Pie in the Sky (1996),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"128,Angela (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"129,Frankie Starlight (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"130,Jade (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"131,Nueba Yol (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"132,Sonic Outlaws (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"133,Down Periscope (1996),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"134,From the Journals of Jean Seberg (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"135,Man of the Year (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"136,""Neon Bible, The (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"137,Target (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"138,Up Close and Personal (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"139,""Birdcage, The (1996)"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"140,Shadows (Cienie) (1988),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"141,Gospa (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"142,""Brothers McMullen, The (1995)"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"143,Bad Boys (1995),0,0,1,0,0,0,0,0,1,0,0,0,0,1,1"
"144,""Amazing Panda Adventure, The (1995)"",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"145,""Basketball Diaries, The (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"146,""Awfully Big Adventure, An (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"147,Amateur (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0"
"148,Apollo 13 (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"149,Rob Roy (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,1"
"150,""Addiction, The (1995)"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"151,Batman Forever (1995),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1"
"152,Beauty of the Day (Belle de jour) (1967),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"153,Beyond Rangoon (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"154,Blue in the Face (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"155,Canadian Bacon (1995),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
"156,Casper (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"157,Clockers (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0"
"158,Congo (1995),1,0,0,0,0,0,0,0,0,1,0,1,0,0,1"
"159,Crimson Tide (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0"
"160,Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"161,Desperado (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1"
"162,Devil in a Blue Dress (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,1,0"
"163,Die Hard: With a Vengeance (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,1,1"
"164,""Doom Generation, The (1995)"",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0"
"165,Feast of July (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"166,First Knight (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1"
"167,Free Willy 2: The Adventure Home (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"168,Hackers (1995),1,0,0,0,0,0,0,0,1,0,0,0,0,1,1"
"169,Jeffrey (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"170,Johnny Mnemonic (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,1,1"
"171,Judge Dredd (1995),0,0,0,0,0,0,0,0,1,1,0,0,0,0,1"
"172,Jury Duty (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"173,Kids (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"174,Living in Oblivion (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"175,Lord of Illusions (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"176,Love & Human Remains (1993),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"177,Mad Love (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"178,Mallrats (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"179,Mighty Morphin Power Rangers: The Movie (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1"
"180,Moonlight and Valentino (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"181,Mute Witness (1994),0,0,1,0,0,0,0,0,0,0,1,0,0,1,0"
"182,Nadja (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"183,""Net, The (1995)"",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1"
"184,Nine Months (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"185,Party Girl (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"186,""Prophecy, The (1995)"",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0"
"187,Reckless (1995),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
"188,Safe (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"189,""Scarlet Letter, The (1995)"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"190,The Show (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"191,Showgirls (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"192,Smoke (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"193,Something to Talk About (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"194,Species (1995),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0"
"195,""Stars Fell on Henrietta, The (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"196,Strange Days (1995),0,0,0,0,0,0,0,0,1,1,0,1,0,1,1"
"197,""Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"198,""Tie That Binds, The (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"199,Three Wishes (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"200,Total Eclipse (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"201,""To Wong Foo, Thanks for Everything! Julie Newmar (1995)"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"202,Under Siege 2: Dark Territory (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"203,Unstrung Heroes (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"204,Unzipped (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"205,""Walk in the Clouds, A (1995)"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"206,Waterworld (1995),1,0,0,0,0,0,0,0,0,1,0,0,0,0,1"
"207,White Man's Burden (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"208,Wild Bill (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"209,""Browning Version, The (1994)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"210,Bushwhacked (1995),1,0,1,0,0,0,0,0,1,0,0,1,0,0,0"
"211,Burnt by the Sun (Utomlyonnye solntsem) (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"212,Before the Rain (Pred dozhdot) (1994),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"213,Before Sunrise (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"214,Billy Madison (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"215,""Babysitter, The (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"216,Boys on the Side (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"217,""Cure, The (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"218,Castle Freak (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"219,Circle of Friends (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"220,Clerks (1994),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"221,Don Juan DeMarco (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"222,Disclosure (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"223,Dream Man (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"224,Drop Zone (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"225,Destiny Turns on the Radio (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"226,Death and the Maiden (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"227,Dolores Claiborne (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"228,Dumb & Dumber (Dumb and Dumber) (1994),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"229,Eat Drink Man Woman (Yin shi nan nu) (1994),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"230,Exotica (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"231,Exit to Eden (1994),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"232,Ed Wood (1994),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"233,French Kiss (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,1"
"234,Forget Paris (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"235,Far From Home: The Adventures of Yellow Dog (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"236,""Goofy Movie, A (1995)"",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0"
"237,Hideaway (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"238,Fluke (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"239,Farinelli: il castrato (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"240,Gordy (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0"
"241,Gumby: The Movie (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
"242,The Glass Shield (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
"243,Hoop Dreams (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"244,Heavenly Creatures (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
"245,Houseguest (1994),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"246,Immortal Beloved (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"247,Heavyweights (Heavy Weights) (1995),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0"
"248,""Hunted, The (1995)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"249,I.Q. (1994),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"250,Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"251,Jefferson in Paris (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"252,""Jerky Boys, The (1995)"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"253,Junior (1994),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0"
"254,Just Cause (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0"
"255,""Kid in King Arthur's Court, A (1995)"",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0"
"256,Kiss of Death (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0"
"257,Star Wars: Episode IV - A New Hope (1977),1,0,0,0,0,0,0,0,0,1,0,0,0,0,1"
"258,Little Women (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"259,""Little Princess, A (1995)"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"260,Ladybird Ladybird (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"261,""Enfer, L' (1994)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"262,Like Water for Chocolate (Como agua para chocolate) (1992),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0"
"263,Legends of the Fall (1994),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
"264,Major Payne (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"265,Little Odessa (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
"266,My Crazy Life (Mi vida loca) (1993),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"267,Love Affair (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"268,Losing Isaiah (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"269,""Madness of King George, The (1994)"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"270,Mary Shelley's Frankenstein (Frankenstein) (1994),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0"
"271,Man of the House (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"272,Mixed Nuts (1994),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"273,Milk Money (1994),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"274,Miracle on 34th Street (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"275,Miami Rhapsody (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"276,My Family (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"277,Murder in the First (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"278,Nobody's Fool (1994),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"279,Nell (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"280,New Jersey Drive (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
"281,New York Cop (Nyû Yôku no koppu) (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1"
"282,Beyond Bedlam (1993),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"283,Nemesis 2: Nebula (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,1,1"
"284,Nina Takes a Lover (1994),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"285,Natural Born Killers (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,1,1"
"286,Only You (1994),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"287,Once Were Warriors (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
"288,Outbreak (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,1,1"
"289,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,1,1"
"290,""Perez Family, The (1995)"",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"291,""Pyromaniac's Love Story, A (1995)"",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
"292,Pulp Fiction (1994),0,0,1,0,0,0,0,0,1,0,0,0,0,1,0"
"293,Panther (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
